4,0,0,13,24
1,0,0,12,25
2,0,0,12,25
3,0,0,12,25
4,0,0,12,25
1,0,0,4,36
2,0,0,4,36
3,0,0,4,36
4,0,0,4,36
1,0,0,5,24
2,0,0,5,24
3,0,0,5,24
4,0,0,5,24
1,0,0,1,21
2,0,0,1,21
3,0,0,1,21
4,0,0,1,21
1,0,0,0,24
2,0,0,0,23
3,0,0,4,34
4,0,0,6,20
1,0,0,8,20
2,0,0,3,22
3,0,0,6,21
4,0,0,3,32
1,0,0,9,27
2,0,0,6,28
3,0,0,9,23
4,0,0,9,20
1,0,0,3,21
2,0,0,0,31
3,0,0,4,32
4,0,0,10,33
1,0,0,6,24
2,0,0,0,32
3,0,0,0,31
4,0,0,2,28
1,0,0,0,23
2,0,0,5,21
3,0,0,8,20
4,0,0,9,27
1,0,0,7,18
2,0,0,10,20
3,0,0,10,29
4,0,0,0,28
1,0,0,9,26
2,0,0,10,20
3,0,0,10,33
4,0,0,8,25
1,0,0,6,21
2,0,0,9,21
3,0,0,0,19
4,0,0,3,31
5,0,0,0,25
1,0,0,10,32
2,0,0,7,33
3,0,0,0,33
4,0,0,2,20
5,0,0,8,18
1,0,0,9,31
2,0,0,1,23
3,0,0,7,25
4,0,0,2,31
5,0,0,9,28
1,0,0,2,30
2,0,0,65535,25
3,0,0,9,23
4,0,0,7,24
5,0,0,6,20
